Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels (TWh, substituted energy)","Solar (TWh, substituted energy)","Wind (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil (TWh, substituted energy)","Coal (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)"
World,OWID_WRL,1977,127.26663208007812,15.85667896270752,0,0,4410.85888671875,1528.137451171875,12759.8427734375,34928.13671875,19241.30078125,9830
World,OWID_WRL,1978,135.02682495117188,20.971792221069336,0,0.008861110545694828,4773.7109375,1775.700927734375,13293.9521484375,36509.91796875,19457.904296875,9886
World,OWID_WRL,1979,144.51551818847656,26.000825881958008,0,0.017749998718500137,5012.64697265625,1846.8245849609375,14118.0322265625,37064.56640625,20363.5390625,9943
World,OWID_WRL,1980,153.78857421875,29.85854721069336,0,0.031048333272337914,5120.46875,2020.0955810546875,14236.9609375,35514.421875,20857.609375,10000
World,OWID_WRL,1981,164.90757751464844,27.297348022460938,0,0.031048333272337914,5230.62841796875,2385.642822265625,14395.8740234375,34251.5703125,21149.6796875,10106
World,OWID_WRL,1982,191.23289489746094,35.2225227355957,0,0.05470416322350502,5325.265625,2588.3173828125,14469.7353515625,33185.26953125,21385.451171875,10213
World,OWID_WRL,1983,211.7705841064453,44.50929641723633,0.008861110545694828,0.0969744473695755,5552.54248046875,2933.458984375,14703.8330078125,32937.60546875,22046.345703125,10321
World,OWID_WRL,1984,236.32064819335938,53.71253204345703,0.018666666001081467,0.132341668009758,5740.6201171875,3559.856689453125,15902.6806640625,33680.0546875,23001.080078125,10430
World,OWID_WRL,1985,244.355224609375,63.575279235839844,0.03473721817135811,0.1898983269929886,5854.19384765625,4224.83740234375,16262.2216796875,33660.1015625,23987.828125,10541
World,OWID_WRL,1986,265.20489501953125,79.67752838134766,0.04489833116531372,0.41052278876304626,5933.47314453125,4525.08642578125,16421.111328125,34700.8359375,24258.033203125,10653
World,OWID_WRL,1987,283.8797607421875,81.13545989990234,0.03135305270552635,0.5777269601821899,6013.859375,4922.3310546875,17281.896484375,35393.54296875,25212.42578125,10765
World,OWID_WRL,1988,292.2910461425781,85.56256103515625,0.030149443075060844,0.9804777503013611,6206.5634765625,5366.4482421875,18088.845703125,36552.58984375,25967.12890625,10879
World,OWID_WRL,1989,321.91949462890625,91.30406188964844,0.7753913402557373,7.835361003875732,6173.58251953125,5518.99609375,18867.30859375,37156.8359375,26215.67578125,10995
World,OWID_WRL,1990,361.1251525878906,100.93559265136719,1.148183822631836,10.741175651550293,6383.380859375,5676.3408203125,19481.125,37608.01953125,25904.46875,11111
World,OWID_WRL,1991,376.7493896484375,106.65062713623047,1.4938794374465942,12.08434772491455,6532.16259765625,5947.9267578125,19972.83984375,37610.640625,25654.251953125,11243
World,OWID_WRL,1992,404.74102783203125,104.65896606445312,1.3796871900558472,13.996057510375977,6530.3935546875,5993.08447265625,20063.484375,38151.84765625,25556.59375,11376
World,OWID_WRL,1993,418.3900146484375,109.13502502441406,1.6461485624313354,16.8476505279541,6923.66455078125,6199.47607421875,20265.484375,37960.61328125,25685.59375,11511
World,OWID_WRL,1994,434.5735778808594,117.91619110107422,1.7653638124465942,21.062427520751953,6967.2451171875,6315.8662109375,20389.615234375,38793.5078125,25784.77734375,11647
World,OWID_WRL,1995,454.2080383300781,124.0906753540039,1.8889656066894531,24.430418014526367,7344.2119140625,6589.8330078125,21104.494140625,39442.17578125,25963.681640625,11785
World,OWID_WRL,1996,466.2979431152344,119.19629669189453,2.0675506591796875,27.21790313720703,7442.81689453125,6829.33349609375,22159.255859375,40314.296875,26582.123046875,11925
World,OWID_WRL,1997,499.909912109375,124.06340789794922,2.2165141105651855,35.53655242919922,7572.9384765625,6782.4453125,22030.392578125,41413.24609375,26536.6875,12066
World,OWID_WRL,1998,520.4947509765625,126.48511505126953,2.4004509449005127,47.0789909362793,7631.9765625,6899.19580078125,22434,41644.4140625,26366.365234375,12209
World,OWID_WRL,1999,546.0943603515625,128.31883239746094,2.6766574382781982,62.73599624633789,7689.77783203125,7161.75341796875,23071.904296875,42370.09375,26479.49609375,12414
World,OWID_WRL,2000,571.1834716796875,125.51532745361328,3.1313633918762207,92.87144470214844,7826.166015625,7323.33984375,23994.2578125,42880.92578125,27427.5234375,12500
World,OWID_WRL,2001,593.175048828125,121.65283966064453,4.181310653686523,112.7565689086914,7575.6201171875,7481.20849609375,24316.833984375,43255.68359375,27860.15234375,12500
World,OWID_WRL,2002,638.6609497070312,151.30210876464844,5.251040458679199,152.78575134277344,7665.61865234375,7551.708984375,25030.142578125,43608.86328125,28955.103515625,12470
World,OWID_WRL,2003,674.0078125,171.0836639404297,6.540081024169922,183.53549194335938,7606.5068359375,7351.345703125,25729.58984375,44580.6484375,31499.232421875,12329
World,OWID_WRL,2004,728.2478637695312,202.19873046875,8.56289005279541,246.744873046875,8116.03759765625,7636.44970703125,26721.1015625,46270.65625,33673.01171875,12160
World,OWID_WRL,2005,788.9249877929688,240.344482421875,11.98942756652832,299.6399841308594,8336.203125,7608.0732421875,27438.037109375,46672.65625,36169.05859375,12076
World,OWID_WRL,2006,840.5309448242188,298.0293884277344,16.394763946533203,379.8566589355469,8599.056640625,7654.41943359375,28161.10546875,47172.609375,38069.03515625,11993
World,OWID_WRL,2007,912.0394287109375,391.1390075683594,22.1060848236084,484.9559326171875,8688.974609375,7451.5478515625,29315.390625,47758.875,40228.41796875,11911
World,OWID_WRL,2008,975.3799438476562,527.3995361328125,35.68049621582031,622.1779174804688,9136.708984375,7382.28466796875,30021.318359375,47338.6875,40773.58203125,11829
World,OWID_WRL,2009,1047.9144287109375,600.3394775390625,58.853538513183594,773.0018310546875,9066.2998046875,7232.9384765625,29401.19140625,46371.56640625,40175.359375,11747
World,OWID_WRL,2010,1180.3001708984375,691.1564331054688,94.12339782714844,961.52880859375,9518.0419921875,7373.7333984375,31588.86328125,47895.07421875,41996.38671875,11667
World,OWID_WRL,2011,1247.5972900390625,728.102294921875,180.9189910888672,1214.86669921875,9635.0751953125,7022.1484375,32340.1796875,48307.65625,44017.296875,11553
World,OWID_WRL,2012,1352.366455078125,754.1318969726562,278.41851806640625,1454.5869140625,9985.884765625,6500.9921875,33194.03515625,49010.70703125,44184.375,11441
World,OWID_WRL,2013,1463.134521484375,819.0755004882812,377.7468566894531,1732.0169677734375,10324.787109375,6513.49169921875,33729.72265625,49520.15625,44842.6171875,11330
World,OWID_WRL,2014,1584.601318359375,868.7943725585938,531.948974609375,1912.226806640625,10535.7412109375,6606.67822265625,33944.2734375,49832.44140625,45161.20703125,11220
World,OWID_WRL,2015,1711.2283935546875,905.0957641601562,686.0070190429688,2238.78564453125,10444.337890625,6655.75634765625,34768.67578125,50796.26171875,44054.44140625,11111
World,OWID_WRL,2016,1737.3021240234375,946.94677734375,876.9552612304688,2575.582275390625,10741.4853515625,6714.7958984375,35560.7734375,51760.77734375,43504.1640625,11111
World,OWID_WRL,2017,1850.659912109375,972.5343017578125,1185.5150146484375,3034.9169921875,10831.4052734375,6734.873046875,36529.22265625,52515.54296875,43751.67578125,11111
World,OWID_WRL,2018,1995.82568359375,1045.907958984375,1524.5496826171875,3360.0185546875,11067.517578125,6856.0166015625,38356.30078125,53250.62109375,44315.875,11111
World,OWID_WRL,2019,2095.157958984375,1120.1494140625,1855.5921630859375,3744.514892578125,11153.7919921875,7073.28955078125,39062.9453125,53368.62890625,43699.88671875,11111
World,OWID_WRL,2020,2185.723876953125,1065.56494140625,2222.443115234375,4192.68212890625,11413.8271484375,6789.3017578125,38455.7265625,48380.7109375,41963.96484375,11111
World,OWID_WRL,2021,2373.0986328125,1139.921142578125,2701.72216796875,4872.0947265625,11183.2255859375,7031.33935546875,40374.60546875,51170.47265625,44473.1953125,11111
